slug,image_path,width,height,board,pin_title,pin_description,pin_keywords,pin_alt_text,destination_url,utm_destination_url
symboles-therian,assets/pinterest/fr_esthetique/symboles-therian.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Therian pour Profil & Pseudo — Copier-Coller,"Symboles Therian pour Profil — La marque theta-delta et les phases de lune à copier. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole therian, symbole therian copier coller, logo therian copier coller",Pin vertical en français : Symboles Therian pour Profil — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-therian/,https://ultratextgen.com/fr/library/symboles-therian/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-therian
symboles-coquette,assets/pinterest/fr_esthetique/symboles-coquette.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Coquette 🎀 pour Bio Instagram — Gratuit,"Symboles Coquette pour Bio — Bordures douces et séparateurs coquette à copier-coller. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole coquette, coquette symbole",Pin vertical en français : Symboles Coquette pour Bio — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-coquette/,https://ultratextgen.com/fr/library/symboles-coquette/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-coquette
symboles-cottagecore,assets/pinterest/fr_esthetique/symboles-cottagecore.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Cottagecore à Copier-Coller — Gratuit,"Symboles Cottagecore — Séparateurs et bordures nature à copier-coller. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole cottagecore, esthétique cottagecore",Pin vertical en français : Symboles Cottagecore — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-cottagecore/,https://ultratextgen.com/fr/library/symboles-cottagecore/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-cottagecore
symboles-y2k,assets/pinterest/fr_esthetique/symboles-y2k.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Y2K à Copier-Coller — Bio Rétro 2000s,"Symboles Y2K à Copier — Ambiance rétro 2000s pour bio et pseudo. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole y2k, esthétique y2k",Pin vertical en français : Symboles Y2K à Copier — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-y2k/,https://ultratextgen.com/fr/library/symboles-y2k/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-y2k
symboles-fairycore,assets/pinterest/fr_esthetique/symboles-fairycore.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Fairycore ✨ à Copier-Coller — Gratuit,"Symboles Fairycore ✨ — Bordures féeriques douces à copier-coller. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole fairycore, esthétique fairycore",Pin vertical en français : Symboles Fairycore ✨ — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-fairycore/,https://ultratextgen.com/fr/library/symboles-fairycore/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-fairycore
symboles-witchy-occult,assets/pinterest/fr_esthetique/symboles-witchy-occult.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Witchy & Occultes à Copier-Coller,"Symboles Witchy & Occultes — Lune, planètes et pentagrammes à copier-coller. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole witchy, symbole occulte copier coller",Pin vertical en français : Symboles Witchy & Occultes — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-witchy-occult/,https://ultratextgen.com/fr/library/symboles-witchy-occult/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-witchy-occult
symboles-goth-grunge,assets/pinterest/fr_esthetique/symboles-goth-grunge.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Goth & Grunge pour Bio Sombre — Gratuit,"Symboles Goth & Grunge — Croix et dagues pour une bio sombre. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole goth, symbole grunge copier coller",Pin vertical en français : Symboles Goth & Grunge — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-goth-grunge/,https://ultratextgen.com/fr/library/symboles-goth-grunge/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-goth-grunge
symboles-kawaii-cute,assets/pinterest/fr_esthetique/symboles-kawaii-cute.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Kawaii Trop Mignons à Copier-Coller,"Symboles Kawaii Mignons — Étincelles et poussière pastel à copier-coller. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole kawaii, symbole mignon copier coller",Pin vertical en français : Symboles Kawaii Mignons — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-kawaii-cute/,https://ultratextgen.com/fr/library/symboles-kawaii-cute/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-kawaii-cute
symboles-dreamcore-weirdcore,assets/pinterest/fr_esthetique/symboles-dreamcore-weirdcore.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Dreamcore & Weirdcore à Copier-Coller,"Symboles Dreamcore & Weirdcore — Ambiance glitch et liminale à copier-coller. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole dreamcore, symbole weirdcore",Pin vertical en français : Symboles Dreamcore & Weirdcore — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-dreamcore-weirdcore/,https://ultratextgen.com/fr/library/symboles-dreamcore-weirdcore/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-dreamcore-weirdcore
symboles-coeur,assets/pinterest/fr_esthetique/symboles-coeur.png,1000,1500,Symboles Esthétiques par Ambiance ✨,Symboles Cœur ♡ à Copier-Coller — Tous les Styles,"Symboles Cœur à Copier — Tous les styles de cœurs pour bio et pseudo. Copie-les directement sur UltraTextGen : gratuit, dans le navigateur, sans appli. Idéal pour bio, pseudo et posts.","symbole coeur, symbole coeur clavier, cœur symbole clavier",Pin vertical en français : Symboles Cœur à Copier — symboles à copier-coller depuis UltraTextGen.,https://ultratextgen.com/fr/library/symboles-coeur/,https://ultratextgen.com/fr/library/symboles-coeur/?utm_source=pinterest&utm_medium=social&utm_campaign=fr_esthetique_pins&utm_content=symboles-coeur
