slug,page_path,symbol_category,copy_pattern,has_collection_now,collection_opportunity,verdict,rationale,source,checked_date
accent-marks-diacritics,library/accent-marks-diacritics/index.html,Combining diacritics,single,no,no,N/A,"Combining marks attach to individual letters; users copy one mark at a time, not a set.",legacy,2026-06-17
achievement-symbols,library/achievement-symbols/index.html,Achievement emojis,single,no,no,N/A,"Trophies, medals and award emojis are copied individually for a specific accolade, not pasted as a group.",legacy,2026-06-17
aesthetic-borders-frames,library/aesthetic-borders-frames/index.html,Decorative borders/frames,collection,yes,yes,KEEP,"Entire page is multi-symbol borders, frames and dividers (Floral/Star/Heart Borders, Corner Frames, Minimalist Dividers) meant to be pasted as a unit.",legacy,2026-06-17
aesthetic-symbols,library/aesthetic-symbols/index.html,Aesthetic decoration,collection,yes,yes,KEEP,"Aesthetic bio strings and divider/border sets (Sparkle/Heart/Nature aesthetic sets, Arrow & Divider sets) are typically pasted whole.",legacy,2026-06-17
algeria-emoji-combos,library/algeria-emoji-combos/index.html,Algeria Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
alt-codes,library/alt-codes/index.html,Alt Codes,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
angry-emoji,library/angry-emoji/index.html,Angry Emoji & Kaomoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
animal-emojis,library/animal-emojis/index.html,Animal emojis,single,no,no,N/A,Users pick one animal emoji for context; there is no natural set pasted together.,legacy,2026-06-17
argentina-emoji-combos,library/argentina-emoji-combos/index.html,Argentina Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
arrow-symbols,library/arrow-symbols/index.html,Directional arrows,single,no,no,N/A,"Arrows are functional single glyphs chosen for direction, not strung together as a collection.",legacy,2026-06-17
art-stationery-emojis,library/art-stationery-emojis/index.html,Art & Stationery Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
ascii-table,library/ascii-table/index.html,ASCII Table,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
australia-emoji-combos,library/australia-emoji-combos/index.html,Australia Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
austria-emoji-combos,library/austria-emoji-combos/index.html,Austria Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
awareness-ribbons,library/awareness-ribbons/index.html,Awareness ribbons,single,no,no,N/A,"A single cause ribbon is copied for a specific cause, not a set.",legacy,2026-06-17
beauty-nails-emojis,library/beauty-nails-emojis/index.html,Beauty & Nails Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
belgium-emoji-combos,library/belgium-emoji-combos/index.html,Belgium Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
bellingham-emoji-combos,library/bellingham-emoji-combos/index.html,Bellingham Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
benzema-emoji-combos,library/benzema-emoji-combos/index.html,Benzema Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
body-language-emojis,library/body-language-emojis/index.html,Gesture/body emojis,single,no,no,N/A,Expressive body and gesture emojis are used singly in context.,legacy,2026-06-17
bow-ribbon-symbols,library/bow-ribbon-symbols/index.html,Coquette bows/ribbons,collection,yes,yes,KEEP,Coquette/preppy bio decoration; bow+heart combos and ribbon strings are pasted together (page has a Bow & Heart Combos section).,legacy,2026-06-17
box-drawing-symbols,library/box-drawing-symbols/index.html,Box Drawing & Block Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
bracket-symbols,library/bracket-symbols/index.html,Brackets/braces,single,no,no,N/A,"A bracket pair is copied individually to wrap text, not as a symbol set.",legacy,2026-06-17
braille-pattern-symbols,library/braille-pattern-symbols/index.html,Braille Pattern Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
brainrot-slang-emojis,library/brainrot-slang-emojis/index.html,Brainrot & Slang Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
brazil-emoji-combos,library/brazil-emoji-combos/index.html,Brazil Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
bullet-point-symbols,library/bullet-point-symbols/index.html,Bullet markers,single,no,no,N/A,Users copy one bullet to mark list items; the set is not pasted together.,legacy,2026-06-17
cameroon-emoji-combos,library/cameroon-emoji-combos/index.html,Cameroon Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
canada-emoji-combos,library/canada-emoji-combos/index.html,Canada Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
card-emoji-soccer,library/card-emoji-soccer/index.html,Soccer Card Emoji,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
card-suit-symbols,library/card-suit-symbols/index.html,Card suits,single,no,no,N/A,Card suits are copied individually; the four-suit set is small and rarely pasted as a unit.,legacy,2026-06-17
checkmark-symbols,library/checkmark-symbols/index.html,Checkmarks/status,single,no,no,N/A,Checkmarks and crosses are status glyphs chosen one at a time (explicit single-glyph case).,legacy,2026-06-17
chess-symbols,library/chess-symbols/index.html,Chess pieces,collection,yes,yes,KEEP,"Has a Chess Piece Sets grouping; full white/black piece sets form a coherent unit, though intent is borderline single-glyph.",legacy,2026-06-17
chile-emoji-combos,library/chile-emoji-combos/index.html,Chile Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
