rater,status,archetype,mode,code,usability,readability,structure,image,colour,defects
R1,current,A,HALFTONE_M,LPJ,5,5,5.0,,,none
R1,current,A,STANDARD,LJG,5,5,5.0,,,none
R1,current,A,COMBINED_REMOVE+TINT_75,EUQ,4,4,4.0,,,"title, rules, midline and tracing letters all lightened; dashed midline paler"
R1,current,A,DECOR_REMOVAL,SOL,5,5,5.0,,,none
R1,current,A,SUPER_ECO_BW,NDP,2,5,5.0,,,tracing letters now solid black
R1,current,A,BW_THRESHOLD,TEA,1,2,2.0,,,tracing letters and dashed midline vanished; stray black specks on rules
R1,current,A,TINT_55,OJH,3,3,3.0,,,"whole page washed out: tracing letters and midline very faint, rules grey"
R1,current,A,OUTLINE_NAIVE,ZEO,5,5,5.0,,,none
R1,current,A,TINT_FILL_30,HQB,5,5,5.0,,,none
R1,current,A,OUTLINE_ONLY,VAF,5,5,5.0,,,none
R1,current,A,HIGH_CONTRAST,TWG,4,5,5.0,,,tracing letters darker mid-grey; less contrast with a pencil stroke
R1,current,A,OPACITY_GROUP_60,MKF,3,3,3.0,,,"whole page washed out: tracing letters and midline very faint, rules grey"
R1,current,A,BW_SEMANTIC,LTT,2,5,5.0,,,tracing letters now solid black
R1,current,A,ECO_COLOUR,VQR,5,5,5.0,,,none
R1,current,A,OPACITY_GROUP_75,XHU,4,4,4.0,,,"title, rules, midline and tracing letters all lightened; dashed midline paler"
R1,current,A,DITHER_M,FUV,5,5,5.0,,,none
R1,current,A,COPY_SAFE_ECO,JEP,4,5,5.0,,,tracing letters darker mid-grey; less contrast with a pencil stroke
R1,current,A,TINT_FILL_55,OOZ,5,5,5.0,,,none
R1,current,A,BG_REMOVAL,NTO,5,5,5.0,,,none
R1,current,A,COMBINED_ECO+STRUCT_75,HID,4,4,4.0,,,"title, rules, midline and tracing letters all lightened; dashed midline paler"
R1,current,A,GRAYSCALE,MWH,5,5,5.0,,,none
R1,current,B,TINT_55,FLQ,4,3,4.0,,,"whole page lightened: letters mid-grey, grid light grey, small word list and instruction faint"
R1,current,B,HIGH_CONTRAST,PVS,5,5,5.0,,,none
R1,current,B,SUPER_ECO_BW,DBF,5,5,5.0,,,none
R1,current,B,STANDARD,RII,5,5,5.0,,,none
R1,current,B,DITHER_M,FHG,5,5,5.0,,,none
R1,current,B,GRAYSCALE,QSE,5,5,5.0,,,none
R1,current,B,ECO_COLOUR,WGW,5,5,5.0,,,none
R1,current,B,TINT_FILL_30,JTR,5,5,5.0,,,none
R1,current,B,BW_SEMANTIC,BHW,5,5,5.0,,,none
R1,current,B,OPACITY_GROUP_75,LJT,5,4,4.0,,,text and grid dark grey instead of black; slight contrast loss
R1,current,B,BG_REMOVAL,KNF,5,5,5.0,,,none
R1,current,B,OUTLINE_NAIVE,YJH,5,5,5.0,,,none
R1,current,B,HALFTONE_M,HBE,5,5,5.0,,,none
R1,current,B,OPACITY_GROUP_60,LNU,4,3,4.0,,,"whole page lightened: letters mid-grey, grid light grey, small word list and instruction faint"
R1,current,B,COPY_SAFE_ECO,IDL,5,5,5.0,,,none
R1,current,B,COMBINED_REMOVE+TINT_75,MIG,5,4,4.0,,,text and grid dark grey instead of black; slight contrast loss
R1,current,B,COMBINED_ECO+STRUCT_75,KSM,5,4,4.0,,,text and grid dark grey instead of black; slight contrast loss
R1,current,B,OUTLINE_ONLY,KCR,5,5,5.0,,,none
R1,current,B,DECOR_REMOVAL,UJJ,5,5,5.0,,,none
R1,current,B,BW_THRESHOLD,KTW,5,4,5.0,,,binarised: small instruction text slightly jagged
R1,current,B,TINT_FILL_55,NEI,5,5,5.0,,,none
R1,current,C,TINT_55,DTA,3,3,,,,title and body text mid-grey; low contrast for sustained reading
R1,current,C,COMBINED_ECO+STRUCT_75,VHB,5,4,,,,title and body text dark grey; slight contrast loss
R1,current,C,OUTLINE_ONLY,UVE,5,5,,,,none
R1,current,C,STANDARD,TQT,5,5,,,,none
R1,current,C,BW_SEMANTIC,PYL,5,5,,,,none
R1,current,C,HIGH_CONTRAST,IMY,5,5,,,,none
R1,current,C,DECOR_REMOVAL,DYM,5,5,,,,none
R1,current,C,DITHER_M,JAU,5,5,,,,none
R1,current,C,GRAYSCALE,IVK,5,5,,,,none
R1,current,C,HALFTONE_M,QNX,5,5,,,,none
R1,current,C,TINT_FILL_55,UGN,5,5,,,,none
R1,current,C,OPACITY_GROUP_75,SXW,5,4,,,,title and body text dark grey; slight contrast loss
R1,current,C,COPY_SAFE_ECO,UWU,5,5,,,,none
R1,current,C,BG_REMOVAL,VKT,5,5,,,,none
R1,current,C,TINT_FILL_30,EFG,5,5,,,,none
R1,current,C,OUTLINE_NAIVE,HJO,5,5,,,,none
R1,current,C,OPACITY_GROUP_60,FAP,3,3,,,,title and body text mid-grey; low contrast for sustained reading
R1,current,C,SUPER_ECO_BW,GRY,5,5,,,,none
R1,current,C,BW_THRESHOLD,ARA,5,4,,,,"binarised text: slightly jagged, uneven stroke weight"
R1,current,C,ECO_COLOUR,ZYV,5,5,,,,none
R1,current,C,COMBINED_REMOVE+TINT_75,ABS,5,4,,,,title and body text dark grey; slight contrast loss
R1,current,D,TINT_FILL_30,JAY,5,5,5.0,4.0,,picture fills very pale; banner tint faint
R1,current,D,COPY_SAFE_ECO,MWF,5,5,5.0,5.0,,banner tint dropped; sun rays black instead of orange
R1,current,D,OUTLINE_NAIVE,CSV,5,5,5.0,4.0,,picture fills removed (outline-only sun and tree); banner shown as outline box
R1,current,D,GRAYSCALE,ZCE,5,5,5.0,4.0,,pictures and banner converted to grey
R1,current,D,OPACITY_GROUP_60,FQF,4,3,4.0,4.0,,"whole page lightened: question text mid-grey, answer lines and box light grey, pale pictures"
R1,current,D,STANDARD,KHZ,5,5,5.0,5.0,,none
R1,current,D,BG_REMOVAL,YAU,5,5,5.0,5.0,,none
R1,current,D,OPACITY_GROUP_75,SSQ,4,4,4.0,4.0,,text and lines dark grey; pictures paler
R1,current,D,SUPER_ECO_BW,YLL,5,5,5.0,4.0,,"pictures reduced to black outlines, colour removed; banner tint dropped"
R1,current,D,BW_SEMANTIC,ZMI,5,5,5.0,4.0,,pictures reduced to black outlines with solid black trunk; banner as outline box
R1,current,D,HALFTONE_M,KGD,5,5,5.0,4.0,,halftone dot pattern in picture fills and banner
R1,current,D,COMBINED_ECO+STRUCT_75,GMZ,4,4,4.0,4.0,,"title grey, text and lines dark grey; pastel pictures; banner tint dropped"
R1,current,D,ECO_COLOUR,FJN,5,5,5.0,5.0,,banner tint dropped; pictures slightly paler
R1,current,D,DITHER_M,BRH,5,5,5.0,4.0,,noisy dither speckle in picture fills and banner
R1,current,D,COMBINED_REMOVE+TINT_75,IHR,4,4,4.0,4.0,,"title grey, text and lines dark grey; pastel pictures; banner tint dropped"
R1,current,D,HIGH_CONTRAST,YNV,5,5,5.0,5.0,,none
R1,current,D,OUTLINE_ONLY,GBE,5,5,5.0,4.0,,picture fills removed (outline-only sun and tree); banner shown as outline box
R1,current,D,BW_THRESHOLD,MLP,3,5,4.0,2.0,,sun rays vanished (plain circle); tree reduced to outline with black trunk; answer line weights uneven
R1,current,D,DECOR_REMOVAL,XNE,5,5,5.0,5.0,,banner tint dropped
R1,current,D,TINT_55,BMT,4,3,4.0,4.0,,"whole page lightened: question text mid-grey, answer lines and box light grey, pale pictures"
R1,current,D,TINT_FILL_55,HFR,5,5,5.0,5.0,,pictures slightly paler
R1,current,E,COMBINED_REMOVE+TINT_75,ECH,4,4,4.0,4.0,,title and words dark grey; card borders grey; photos and clip art lighter
R1,current,E,BW_THRESHOLD,ZWD,2,5,5.0,1.0,,"photos thresholded to black blobs (unrecognisable, one nearly blank); clip art solid black silhouettes"
R1,current,E,TINT_55,SNK,3,3,4.0,3.0,,"whole page washed out: grey words and borders, faded photos and clip art"
R1,current,E,DITHER_M,VFR,4,5,5.0,4.0,,random stipple noise in clip-art fills and backgrounds
R1,current,E,SUPER_ECO_BW,NBD,3,5,5.0,2.0,,photos become black/white dither noise with a visible vertical seam; clip art outline-only in extra frame; flower becomes overlapping circles
R1,current,E,GRAYSCALE,HWV,4,5,5.0,3.0,,all pictures greyscale; apple and flower lose colour cues
R1,current,E,ECO_COLOUR,WHU,5,5,5.0,5.0,,clip art slightly paler
R1,current,E,COMBINED_ECO+STRUCT_75,JJX,4,4,4.0,4.0,,title and words dark grey; card borders grey; photos and clip art lighter
R1,current,E,TINT_FILL_55,IXA,4,5,5.0,4.0,,photos and clip art washed out/pale
R1,current,E,BW_SEMANTIC,CNN,3,5,5.0,2.0,,photos become black/white dither noise with a visible seam; clip art solid black silhouettes in extra frame
R1,current,E,DECOR_REMOVAL,GWG,5,5,5.0,5.0,,none
R1,current,E,HIGH_CONTRAST,BAY,5,5,5.0,5.0,,none
R1,current,E,HALFTONE_M,JTH,4,5,5.0,4.0,,regular dot halftone pattern in clip-art fills
R1,current,E,OUTLINE_ONLY,LNF,4,5,5.0,3.0,,clip art reduced to outlines in an extra frame; flower becomes overlapping circle outlines
R1,current,E,OUTLINE_NAIVE,YWJ,4,5,5.0,3.0,,clip art reduced to outlines in an extra frame; flower becomes overlapping circle outlines
R1,current,E,OPACITY_GROUP_60,SOF,3,3,4.0,3.0,,"whole page washed out: grey words and borders, faded photos and clip art"
R1,current,E,BG_REMOVAL,VCA,5,5,5.0,5.0,,none
R1,current,E,OPACITY_GROUP_75,WHP,4,4,4.0,4.0,,title and words dark grey; card borders grey; photos and clip art lighter
R1,current,E,COPY_SAFE_ECO,TIH,5,5,5.0,5.0,,none
R1,current,E,STANDARD,EWE,5,5,5.0,5.0,,none
R1,current,E,TINT_FILL_30,ITL,3,5,5.0,2.0,,photos and clip art heavily washed out; one photo nearly blank
R1,current,F,GRAYSCALE,DKU,4,5,5.0,,2.0,converted to greyscale; several circle colours merge into similar greys; grey page background
R1,current,F,TINT_FILL_55,FKQ,5,5,5.0,,4.0,pastel fills and cream background; labels switched to dark text
R1,current,F,ECO_COLOUR,URU,5,5,5.0,,4.0,pastel fills; labels switched to dark text
R1,current,F,OPACITY_GROUP_60,TRT,3,3,5.0,,4.0,white title and labels kept on lightened fills: low contrast
R1,current,F,OUTLINE_ONLY,KCV,4,5,4.0,,3.0,"fills removed, only thin coloured outlines; weak poster impact"
R1,superseded (pre-fix render),F,COPY_SAFE_ECO,SFG,5,5,5.0,,5.0,none
R1,superseded (pre-fix render),F,SUPER_ECO_BW,QRD,1,1,4.0,,1.0,white title and 5 of 9 white labels vanished; colour removed (black outlines only)
R1,current,F,DITHER_M,BHT,4,4,5.0,,4.0,random stipple noise texture in fills and background behind text
R1,current,F,OUTLINE_NAIVE,EMU,1,1,4.0,,3.0,all text vanished (title and every label); only coloured outlines remain
R1,current,F,COMBINED_ECO+STRUCT_75,TYU,5,5,5.0,,4.0,pastel fills; labels switched to dark text
R1,current,F,TINT_55,KZO,5,5,5.0,,4.0,pastel fills and cream background; labels switched to dark text
R1,current,F,DECOR_REMOVAL,ZXY,5,5,5.0,,5.0,none
R1,current,F,COMBINED_REMOVE+TINT_75,OJU,5,5,5.0,,5.0,fills slightly lighter
R1,current,F,OPACITY_GROUP_75,MII,5,4,5.0,,5.0,white labels on lighter fills: slightly lower contrast
R1,current,F,BW_SEMANTIC,MBE,4,5,5.0,,2.0,"reduced to black/white: circles either solid black or white outline, hue distinctions lost"
R1,current,F,HALFTONE_M,VUD,4,4,5.0,,4.0,"halftone dot pattern on fills, banner and background behind text"
R1,current,F,BG_REMOVAL,FUR,5,5,5.0,,5.0,none
R1,current,F,TINT_FILL_30,ZOT,4,5,5.0,,3.0,very pale washed-out fills; weak poster impact
R1,current,F,BW_THRESHOLD,CJJ,1,2,1.0,,1.0,4 of 9 circles and their words vanished; remaining circles solid black; colour lost
R1,current,F,HIGH_CONTRAST,PKC,5,5,5.0,,5.0,none
R1,current,F,STANDARD,CYX,5,5,5.0,,5.0,none
R1,current,G,COPY_SAFE_ECO,WRY,5,5,5.0,5.0,,none
R1,current,G,DECOR_REMOVAL,YSP,5,5,5.0,5.0,,none
R1,current,G,TINT_55,ZJM,4,4,4.0,5.0,,outlines and title lightened to mid grey; small inner detail strokes faint
R1,current,G,ECO_COLOUR,WKU,5,5,5.0,5.0,,none
R1,current,G,BG_REMOVAL,BIB,5,5,5.0,5.0,,none
R1,current,G,GRAYSCALE,WFL,5,5,5.0,5.0,,none
R1,current,G,HALFTONE_M,SAQ,5,5,5.0,5.0,,none
R1,current,G,HIGH_CONTRAST,ZYD,5,5,5.0,5.0,,none
R1,current,G,BW_SEMANTIC,LQQ,5,5,5.0,5.0,,none
R1,current,G,OUTLINE_ONLY,GOE,5,5,5.0,5.0,,none
R1,current,G,STANDARD,YER,5,5,5.0,5.0,,none
R1,current,G,OUTLINE_NAIVE,KBA,5,5,5.0,5.0,,none
R1,current,G,COMBINED_REMOVE+TINT_75,UNB,5,5,5.0,5.0,,outlines and title dark grey rather than black (still clear)
R1,current,G,COMBINED_ECO+STRUCT_75,GNP,5,5,5.0,5.0,,outlines and title dark grey rather than black (still clear)
R1,current,G,BW_THRESHOLD,PTZ,5,5,5.0,5.0,,hard binarised edges with slight jaggies on curves
R1,current,G,SUPER_ECO_BW,AVV,5,5,5.0,5.0,,none
R1,current,G,TINT_FILL_30,EMA,5,5,5.0,5.0,,none
R1,current,G,OPACITY_GROUP_60,OTM,4,4,4.0,5.0,,outlines and title lightened to mid grey; small inner detail strokes faint
R1,current,G,OPACITY_GROUP_75,GLS,5,5,5.0,5.0,,outlines and title dark grey rather than black (still clear)
R1,current,G,TINT_FILL_55,BIP,5,5,5.0,5.0,,none
R1,current,G,DITHER_M,XHB,5,5,5.0,5.0,,none
R1,current,H,TINT_FILL_55,LPE,5,5,5.0,,,none
R1,current,H,ECO_COLOUR,ELQ,5,5,5.0,,,header shading removed (header still bold and ruled)
R1,current,H,BG_REMOVAL,OEB,5,5,5.0,,,none
R1,current,H,BW_THRESHOLD,FPQ,5,5,5.0,,,header shading removed; hard binarised edges on text and lines
R1,current,H,OPACITY_GROUP_60,XVW,4,4,4.0,,,all text and grid lightened to mid grey; small cell text lower contrast
R1,current,H,COPY_SAFE_ECO,WVG,5,5,5.0,,,header shading removed (header still bold and ruled)
R1,current,H,TINT_FILL_30,HDN,5,5,5.0,,,header shading very faint
R1,current,H,HIGH_CONTRAST,ZWC,5,5,5.0,,,none
R1,current,H,HALFTONE_M,NZK,5,5,5.0,,,header shading rendered as light dot pattern
R1,current,H,DITHER_M,DZM,5,5,5.0,,,header shading rendered as dither texture behind header text
R1,current,H,GRAYSCALE,DMK,5,5,5.0,,,none
R1,current,H,SUPER_ECO_BW,ADB,5,5,5.0,,,header shading removed (header still bold and ruled)
R1,current,H,COMBINED_ECO+STRUCT_75,UQN,5,5,5.0,,,title and text dark grey; header shading removed
R1,current,H,TINT_55,LNN,4,3,4.0,,,all text and grid faded to light grey; small cell text low contrast
R1,current,H,COMBINED_REMOVE+TINT_75,AKZ,5,5,5.0,,,title and text dark grey; header shading removed
R1,current,H,OUTLINE_NAIVE,RJH,5,5,5.0,,,header shading removed (header still bold and ruled)
R1,current,H,STANDARD,ULO,5,5,5.0,,,none
R1,current,H,OPACITY_GROUP_75,LCE,5,5,4.0,,,"title, cell text and grid lightened to grey"
R1,current,H,OUTLINE_ONLY,SCK,5,5,5.0,,,header shading removed (header still bold and ruled)
R1,current,H,DECOR_REMOVAL,JTW,5,5,5.0,,,header shading removed (header still bold and ruled)
R1,current,H,BW_SEMANTIC,UZA,5,5,5.0,,,header shading removed (header still bold and ruled)
R1,current,I,BW_THRESHOLD,ORA,1,5,5.0,,1.0,colours collapsed to solid black or white: five categories merge into two; jagged circle edges
R1,current,I,GRAYSCALE,ZFJ,2,5,5.0,,2.0,colours converted to five similar greys; vo/mi/ello and ka/fo too close to tell apart
R1,current,I,COMBINED_ECO+STRUCT_75,VQL,5,4,5.0,,4.0,colours lightened but still distinct; title and labels grey
R1,current,I,COMBINED_REMOVE+TINT_75,IXU,5,5,5.0,,5.0,colours slightly muted
R1,current,I,BW_SEMANTIC,KEB,1,5,5.0,,1.0,colours collapsed to solid black or white: five categories merge into two
R1,current,I,OUTLINE_ONLY,PKS,5,5,5.0,,5.0,none
R1,current,I,COPY_SAFE_ECO,WEB,5,5,5.0,,5.0,none
R1,current,I,HALFTONE_M,JNE,4,5,5.0,,4.0,fills rendered as pale stipple dot patterns; red and orange less distinct
R1,current,I,DECOR_REMOVAL,UTF,5,5,5.0,,5.0,none
R1,current,I,STANDARD,TLX,5,5,5.0,,5.0,none
R1,current,I,ECO_COLOUR,LFV,5,5,5.0,,4.0,colours lightened but still distinct
R1,current,I,TINT_FILL_30,HVR,3,5,5.0,,3.0,very pale tints; pink/peach/lavender and pale blue/green hard to separate
R1,current,I,TINT_55,LGU,4,4,4.0,,4.0,"colours lightened; text, circle outlines and answer lines light grey"
R1,current,I,TINT_FILL_55,VDS,5,5,5.0,,4.0,colours lightened but still distinct
R1,current,I,DITHER_M,YTZ,4,5,5.0,,4.0,speckle noise texture in fills; colours paler
R1,current,I,OPACITY_GROUP_75,BKB,5,5,5.0,,5.0,colours slightly muted
R1,current,I,SUPER_ECO_BW,SUM,1,5,5.0,,1.0,colours collapsed to solid black or white: five categories merge into two
R1,current,I,BG_REMOVAL,XZS,5,5,5.0,,5.0,none
R1,current,I,HIGH_CONTRAST,IJT,5,5,5.0,,5.0,none
R1,current,I,OUTLINE_NAIVE,WKO,5,5,5.0,,5.0,none
R1,current,I,OPACITY_GROUP_60,FHJ,4,4,4.0,,4.0,"colours lightened; title, labels and outlines grey"
R1,current,J,HIGH_CONTRAST,CBW,5,5,5.0,,,trace words darker mid grey than other versions (still read as a guide)
R1,current,J,DECOR_REMOVAL,ZEX,5,5,5.0,,,none
R1,current,J,DITHER_M,SXI,5,5,5.0,,,none
R1,current,J,HALFTONE_M,LNX,5,5,5.0,,,none
R1,current,J,COPY_SAFE_ECO,KPT,5,5,5.0,,,trace words darker mid grey than other versions (still read as a guide)
R1,current,J,OPACITY_GROUP_60,FHE,3,3,3.0,,,all text faded to grey; trace words and dashed guides very pale; answer lines grey
R1,current,J,BG_REMOVAL,UCP,5,5,5.0,,,none
R1,current,J,ECO_COLOUR,NZF,5,5,5.0,,,none
